ID,title,artist,year,gender,points,n,n1,n2,n3,n4,n5,PixelX,PixelY
47,Party Up (Up In Here),DMX,1999,male,14,2,1,0,0,1,0,337,56
48,The Rain (Supa Dupa Fly),Missy Elliott,1997,female,14,2,1,0,0,1,0,339,56
49,Codeine Crazy,Future,2014,male,14,2,0,1,1,0,0,340,56
50,Country Grammar,Nelly,2000,male,14,2,0,1,1,0,0,341,56
51,Hard Knock Life,JAY-Z,1998,male,14,2,0,1,1,0,0,342,56
52,The What,The Notorious B.I.G. ft. Method Man,1994,male,14,2,0,1,1,0,0,344,56
53,A Milli,Lil Wayne,2008,male,12,3,0,0,0,3,0,345,56
54,m.A.A.d. city,Kendrick Lamar,2012,male,12,2,1,0,0,0,1,14,57
55,Mind Playing Tricks On Me,Geto Boys,1991,male,12,2,1,0,0,0,1,15,57
56,Black Steel In The Hour Of Chaos,Public Enemy,1988,male,12,2,0,1,0,1,0,16,57
57,Excursions,A Tribe Called Quest,1991,male,12,2,0,1,0,1,0,17,57
58,Stan,Eminem ft. Dido,2000,mixed,12,2,0,1,0,1,0,18,57
59,Still D.R.E.,Dr Dre ft. Snoop Dogg,1999,male,12,2,0,0,2,0,0,19,57
60,Elevators (Me & You),OutKast,1996,male,10,3,0,0,1,0,2,342,57
61,Get Ur Freak On,Missy Elliott,2001,female,10,3,0,0,1,0,2,343,57
62,Ms Jackson,OutKast,2000,male,10,3,0,0,0,2,1,344,57
63,One Mic,Nas,2001,male,10,2,0,1,0,0,1,345,57
64,Bodak Yellow,Cardi B,2017,female,10,2,0,0,1,1,0,346,57
65,Hypnotize,The Notorious B.I.G.,1997,male,10,2,0,0,1,1,0,14,58
66,I Got 5 On It,Luniz,1995,male,10,2,0,0,1,1,0,15,58
67,SpottieOttieDopaliscious,Outkast,1998,male,10,2,0,0,1,1,0,16,58
68,Wu-Tang Clan Ain’t Nuthing Ta Fuck Wit,Wu-Tang Clan,1993,male,10,2,0,0,1,1,0,17,58
69,Aiiight Chill,Gang Starr,1994,male,10,1,1,0,0,0,0,312,58
70,All Of The Lights,Kanye West ft. Rihanna & Kid Cudi,2010,male,10,1,1,0,0,0,0,344,58
71,As The Rhyme Goes On,Eric B & Rakim,1987,male,10,1,1,0,0,0,0,345,58
72,Bling Bling,B.G.,1999,male,10,1,1,0,0,0,0,346,58
73,Brenda’s Got A Baby,2Pac,1991,male,10,1,1,0,0,0,0,347,58
74,D’Evils,JAY-Z,1996,male,10,1,1,0,0,0,0,14,59
75,Don’t Sweat The Technique,Eric B & Rakim,1992,male,10,1,1,0,0,0,0,15,59
